Date,Actual,ARIMA,RF,Prophet
2024-01-02,137.34628295898438,281.21376369796354,279.89995681762696,132.53939320709168
2024-01-03,138.09181213378906,136.77161730670548,246.22096153259278,133.1950403194839
2024-01-04,135.57691955566406,138.05474829012186,223.48424728393556,133.14014728926904
2024-01-05,134.92083740234375,136.94740751068775,136.82625144958496,134.05481868044822
2024-01-08,138.0122833251953,134.60046217582206,138.10548065185546,135.49124548842815
2024-01-09,140.10971069335938,136.75647963918234,136.82327331542967,136.1690386582645
2024-01-10,141.43177795410156,142.0586666341313,137.20746765136718,136.9448057870417
2024-01-11,141.2329864501953,142.62456474666476,137.98650016784669,137.03702213771513
2024-01-12,141.799560546875,141.29141742087896,141.87899711608887,138.11735030581718
2024-01-16,141.64053344726562,141.44553876251678,141.69972366333008,140.91050741828283
2024-01-17,140.62661743164062,141.72328431136475,141.33312545776369,141.82039772503921
2024-01-18,142.62461853027344,140.31620167279297,142.16578338623046,142.01859582798917
2024-01-19,145.50733947753906,141.01201035246737,142.09803840637207,143.17118670434945
2024-01-22,145.1196746826172,148.20666544642143,142.5478958129883,145.10392009922396
2024-01-23,146.16342163085938,145.22194888050424,142.3091603088379,145.83880176424915
2024-01-24,147.81349182128906,145.4820546553997,146.65136978149414,146.60334697122303
2024-01-25,150.964599609375,149.30445519089847,149.2824616241455,146.61009868785692
2024-01-26,151.28271484375,153.55465457314162,147.32476921081542,147.52658688107886
2024-01-29,152.59481811523438,151.34643451691102,149.91494705200196,148.51002812321155
2024-01-30,150.55706787109375,153.19577936473846,150.49890922546388,148.86063530052633
2024-01-31,139.26478576660156,150.55706787109375,153.20927963256835,149.21460249217068
2024-02-01,140.31846618652344,135.32026492756705,154.16388328552247,148.78963290319234
2024-02-02,141.53118896484375,140.12187119318182,145.3228601074219,149.2586510933782
2024-02-05,142.8234405517578,142.73202971207238,141.80504585266112,148.86040139212275
2024-02-06,143.24095153808594,144.1130880300762,141.86567710876466,148.75549435156077
2024-02-07,144.67234802246094,143.48526649310608,141.1028607940674,148.6651150648113
2024-02-08,145.04014587402344,145.44196454717346,140.95032096862792,147.81174633090507
2024-02-09,148.11172485351562,145.21749375154744,144.5506079864502,147.87274329332251
2024-02-12,146.65049743652344,148.8370636475051,148.10161079406737,146.41099124885903
2024-02-13,144.27474975585938,147.78410458144785,148.29296592712402,146.01570315207454
2024-02-14,145.06996154785156,142.15442527839014,148.91816886901856,145.69243728200135
2024-02-15,141.9188690185547,144.5911364108157,144.91191246032716,144.644255648314
2024-02-16,139.6822967529297,143.41384831085296,147.52768074035646,144.5499095518962
2024-02-20,140.27870178222656,137.57101004741966,144.6858236694336,142.4795746611514
2024-02-21,141.70018005371094,139.98163585596393,141.74972412109375,142.18369000767166
2024-02-22,143.23098754882812,142.7144890685037,141.3686117553711,141.20238270184595
2024-02-23,143.10177612304688,144.7575978814581,141.66597587585449,141.213168789189
2024-02-26,136.74984741210938,143.123407301054,140.9124528503418,140.05781982072412
2024-02-27,138.0520477294922,136.49158846925476,142.4150368499756,139.9104476236215
2024-02-28,135.5669708251953,137.53882837896106,141.8839225769043,139.88182166767396
2024-02-29,137.6345672607422,137.6102502744321,136.45910858154298,139.1923928041738
2024-03-01,136.3224334716797,135.60145410704044,137.55652839660644,139.51647265893033
2024-03-04,132.55502319335938,137.50968074132214,136.12233222961424,139.39416288439375
2024-03-05,131.8790740966797,130.21488057671755,137.2695420074463,139.60948444151026
2024-03-06,130.6166229248047,131.64434320601066,135.68440795898437,139.94601820464896
2024-03-07,133.57888793945312,129.56595114341732,133.18936698913575,139.62019628944464
2024-03-08,134.60275268554688,131.4419678693605,132.84890701293946,140.30201231568304
2024-03-11,136.84927368164062,135.23514547461824,132.26147369384765,141.17669797606075
2024-03-12,137.67433166503906,138.54489281652883,133.91903999328613,141.68598193693364
2024-03-13,138.95660400390625,138.20841588787184,136.28167190551758,142.29138702080823
2024-03-14,142.2469024658203,140.1235864088348,136.85672271728515,142.20614879298722
2024-03-15,140.3383331298828,144.47349467763584,137.48724044799803,143.09775516628167
2024-03-18,146.7996063232422,141.99501142367836,143.35808937072753,144.39807540159188
2024-03-19,146.15345764160156,143.28789614068256,142.09465843200684,144.97783692581854
2024-03-20,147.853271484375,146.2808656122531,142.50233375549317,145.61782655779984
2024-03-21,146.72007751464844,146.7240717676549,147.79400749206542,145.5321439631411
2024-03-22,149.8711700439453,147.7660945332716,147.52930221557617,146.38980294166856
2024-03-25,149.17535400390625,147.864130821966,149.53707389831544,147.41208098476622
2024-03-26,149.77175903320312,149.4681434508411,148.94438125610353,147.85162735886894
2024-03-27,149.97056579589844,149.18236656756815,150.20566261291503,148.3344997073232
2024-03-28,150.03021240234375,150.08985839570877,150.2359669494629,148.0795199882347
2024-04-01,154.56304931640625,150.06304795237784,150.58337287902833,149.26237794093382
2024-04-02,153.63856506347656,154.68237016506754,150.88072219848632,149.54850798555205
2024-04-03,153.99642944335938,154.00014269678817,151.53756072998047,149.8961412042394
2024-04-04,149.63259887695312,153.75546446121004,154.70413276672363,149.5284558148666
2024-04-05,151.59085083007812,150.34331218836624,155.12295707702637,150.12333111225843
2024-04-08,153.92684936523438,150.1276737477134,153.55105628967286,150.5539892204546
2024-04-09,155.6664276123047,156.226972947821,150.65821311950683,150.8853642433448
2024-04-10,155.2091522216797,157.33306672089537,153.28765312194824,151.3139057672273
2024-04-11,158.4596710205078,155.43394292933442,153.21109428405762,151.06230241963956
2024-04-12,156.7896728515625,157.56267971073902,155.81537536621093,151.8071393816574
2024-04-15,153.93678283691406,158.1472110649614,157.92107154846192,152.86668951741882
2024-04-16,153.47952270507812,151.44921574425908,156.70471115112304,153.4559162839859
2024-04-17,154.54315185546875,153.33678261001944,154.8347152709961,154.15930435514073
2024-04-18,155.07994079589844,153.77127008475395,153.24838516235351,154.1104953249769
2024-04-19,153.17138671875,155.51178657348134,153.8625104522705,155.06508100562462
2024-04-22,155.3483123779297,154.16617626358754,155.02830528259278,156.74294015865692
2024-04-23,157.31651306152344,153.19009242010392,155.5444012451172,157.5175581252594
2024-04-24,158.1813507080078,159.27475802252212,155.1618575286865,158.3881190326726
2024-04-25,155.0699920654297,158.81844701833634,157.5030069732666,158.56833794291163
2024-04-26,170.92491149902344,156.67538449980867,158.78592002868652,159.726131394929
2024-04-29,165.1594696044922,164.92672554423055,157.59842262268066,161.83335496297178
2024-04-30,161.8095703125,168.85782757090567,159.61836891174318,162.68617556726784
2024-05-01,162.88314819335938,158.89949413697295,168.80388061523436,163.6019385694368
2024-05-02,165.62667846679688,162.25886237506575,164.8744696044922,163.79514344914205
2024-05-03,166.2429962158203,167.48887579561224,162.01636291503905,164.93518263721646
2024-05-06,167.09786987304688,166.50678428652364,164.50379844665528,166.82848010989633
2024-05-07,170.22906494140625,167.90894221545372,165.45938247680664,167.56677856794184
2024-05-08,168.37022399902344,171.82047165430583,167.30083015441895,168.35244038766902
2024-05-09,168.94676208496094,170.00207296109005,168.83818305969237,168.29639548630158
2024-05-10,167.6445770263672,168.62042639157906,169.1942751312256,169.17943058410933
2024-05-13,168.13165283203125,168.60863830074996,169.97110481262206,170.29249594871249
2024-05-14,169.3245086669922,167.81196170848,169.91440811157227,170.778709084559
2024-05-15,171.4815673828125,170.1594699372006,168.9141046142578,171.3208205858064
2024-05-16,173.14158630371094,173.30861476449013,169.33525894165038,171.13921069220567
2024-05-17,175.01040649414062,174.74625246327304,169.1430906677246,171.9086196873636
2024-05-20,175.8652801513672,176.86619131371657,171.48275253295898,172.75793966362428
2024-05-21,176.7897186279297,176.51210458630803,172.7390976715088,173.18094775428952
2024-05-22,175.3284912109375,177.7113354146053,174.50553535461427,173.67041539162744
2024-05-23,172.51536560058594,176.64888304551297,175.53306701660156,173.44499239617858
2024-05-24,173.94679260253906,170.21394290302354,175.19820404052734,174.1773610688994
2024-05-28,175.34837341308594,172.78957429542913,174.87147201538085,175.32200124643575
2024-05-29,174.85133361816406,176.74963990239144,173.05952041625977,175.77276729826428
2024-05-30,171.08395385742188,175.16443488859127,174.82793937683107,175.501711273332
2024-05-31,171.47161865234375,170.1071356760737,175.06227844238282,176.17994035328744
2024-06-03,172.1376190185547,171.39244035336486,176.67471733093262,176.71290700380848
2024-06-04,172.75392150878906,172.7167388669614,169.61429428100587,177.0077450303466
2024-06-05,174.36427307128906,173.36837479686898,170.97781112670899,177.3550817773509
2024-06-06,175.67640686035156,175.43947769033704,172.64720489501954,176.9731824028655
2024-06-07,173.41993713378906,176.96149679715077,173.17191703796388,177.53521238553336
2024-06-10,174.16632080078125,175.38103783121792,174.90173484802247,177.7143767369155
2024-06-11,175.76853942871094,173.7211244638276,176.02581352233886,177.90005962855022
