Date,Actual,ARIMA,RF,Prophet
2024-01-02,165.38279724121094,312.3348776425809,306.4909997558594,151.66154456670745
2024-01-03,164.6619873046875,168.70028849238238,306.4159248352051,153.27439609895288
2024-01-04,165.75469970703125,164.68689341516188,296.70291290283205,154.12219371065797
2024-01-05,166.58633422851562,164.75018107065628,165.164063873291,154.94710312007095
2024-01-08,166.34458923339844,167.38790798747308,164.07274360656737,157.5272190888474
2024-01-09,165.02944946289062,166.47416809472003,165.52195167541504,158.60095712062247
2024-01-10,165.37759399414062,164.56177414758065,166.33351119995118,160.00219780879095
2024-01-11,164.68133544921875,165.2052994220601,166.11206733703614,160.6018538611807
2024-01-12,163.47256469726562,165.23838111076626,165.83124671936037,161.1505583601166
2024-01-16,162.44754028320312,162.42696335886913,165.93515228271485,163.5982772687065
2024-01-17,161.5772247314453,161.43629308418372,163.9074806213379,164.71686191972398
2024-01-18,161.8963623046875,160.71843045067558,163.4376597595215,165.05760211173123
2024-01-19,164.6909942626953,161.6900352119682,163.40255683898926,165.37789014754352
2024-01-22,164.49758911132812,165.32123672673953,162.8631137084961,166.599151178582
2024-01-23,163.41456604003906,164.52414718066566,162.86519149780273,167.31196685249049
2024-01-24,164.87472534179688,163.03974476611444,164.66121444702148,168.41416003091413
2024-01-25,167.23422241210938,163.47740486759585,163.59344314575196,168.87401363559238
2024-01-26,166.59600830078125,169.3458937460366,165.15840133666993,169.35518179749852
2024-01-29,167.03114318847656,166.91758670482207,166.91115615844726,171.2615554382609
2024-01-30,170.45436096191406,166.62608413850316,168.51420570373534,172.24814837499088
2024-01-31,168.60739135742188,171.3110241840816,169.62447357177734,173.63333952415115
2024-02-01,167.99815368652344,170.15095068888235,169.51070167541505,174.28529406584147
2024-02-02,168.9651641845703,167.63574603357316,170.35436973571777,174.94917117605422
2024-02-05,168.74276733398438,168.09290361633046,169.2757219696045,177.25240472016154
2024-02-06,169.32293701171875,168.8398959104051,169.4790766143799,178.29104429002447
2024-02-07,169.64205932617188,168.93512502425565,169.33736289978026,179.67505728327828
2024-02-08,169.03286743164062,169.9115753010561,169.640225982666,180.2663266946645
